"ca"	"year"	"edad.media"	"esperanza.vida"	"tasa.fecundidad"	"pib.capita"	"ratio.sexos"	"tasa.paro"	"tasa.suicidio"
"castilla - la mancha"	2007	40.71	81.422625	42.033441	5.85077243343923	101.429450427653	8.1	7.13092169944531
"castilla - la mancha"	2008	40.53	81.774684	45.408356	1.940792878584	102.293337716306	15.04	7.58651069453282
"castilla - la mancha"	2009	40.55	82.290876	43.699147	-4.10214753515764	102.138892530921	19.29	7.54331520535354
"castilla - la mancha"	2010	40.69	82.713486	43.11095	-0.656466726666305	101.917295982387	21.72	6.71949172049011
"castilla - la mancha"	2011	40.89	82.770256	42.014334	-1.75859312549961	101.703193177311	24.53	6.85470946904839
"castilla - la mancha"	2012	41.09	82.692698	40.548713	-3.07567127746136	101.654375427659	30.07	7.68183806119833
"castilla - la mancha"	2013	41.35	83.089404	38.714859	-1.05216028654578	101.237694413422	28.99	8.75774274892218
"castilla y león"	2002	43.85	80.797737	30.870637	6.40502558124474	97.413393779538	10.15	8.86964802414479
"castilla y león"	2003	44	80.938146	31.741006	5.99513085818624	97.5154608807362	11.02	9.6878735961628
"castilla y león"	2004	44.2	81.474683	32.266786	6.04651162790699	97.5130280518905	10.48	8.74126575131981
"castilla y león"	2005	44.35	81.291758	33.112517	6.37318605154862	97.6425516707743	8.53	7.60698871178633
"castilla y león"	2006	44.51	81.936483	33.744935	6.07279205904812	97.7502269054177	7.58	7.68919786604942
"castilla y león"	2007	44.65	81.87373	34.177085	5.96986275074383	97.9447051869713	6.94	8.58244506345275
"castilla y león"	2008	44.68	82.217544	36.39156	1.53518703016031	98.5516990788763	11.4	8.52451580359203
"castilla y león"	2009	44.82	82.66953	35.264281	-2.90798804692031	98.4916000839333	14.21	8.62095531887587
"castilla y león"	2010	45.04	82.898969	35.918061	0.266433919794218	98.3113225455292	15.78	8.43909881364243
"castilla y león"	2011	45.27	83.167159	35.417104	-0.710129655930736	98.208774147965	17.21	7.11364596634776
"castilla y león"	2012	45.55	83.163327	34.64432	-2.34403839055002	98.1480804117245	20.74	7.85521888960197
"castilla y león"	2013	45.85	83.480216	33.25134	-1.76242676242677	97.8703539385221	22.02	8.33374671362667
"cataluña"	2002	40.68	80.032189	41.254745	4.60787597492702	96.8420871111036	10.61	7.68469393401
"cataluña"	2003	40.62	79.987499	43.093147	4.50096057085354	97.5121203336421	9.72	7.01058717993313
"cataluña"	2004	40.65	80.628957	44.538552	5.01181826140242	97.6599583984868	9.32	7.11841027845607
"cataluña"	2005	40.61	80.469044	45.293711	5.06023091992831	98.3346616686103	6.63	6.07558948228258
"cataluña"	2006	40.62	81.283192	46.093322	6.43919857171196	98.6832325672774	6.56	5.3401006377706
"cataluña"	2007	40.7	81.336574	46.252534	4.83077381839869	98.5090569914865	6.5	5.22848043438826
