"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"JUL 2005",1109406716,723613242,9092785,73774283,660656475,645014720,305969774,3877288,25388,26905640,32868005,9232539,0
"AGO 2005",1108253208,728277936,8456353,69554003,667762858,651823100,304841439,4199132,25328,24014057,32583968,9496883,0
"SEP 2005",1131240453,740953170,8555870,67629248,682695819,666398780,312079220,4795734,24067,25926742,33258411,9651013,0
"OCT 2005",1154888645,759053272,8454696,69291455,697711268,680303100,318874254,5555876,31259,25786020,33435950,9789698,0
"NOV 2005",1175617460,768281392,8483356,71046266,713306457,695146750,318485901,4646614,31055,29651912,33489090,9637834,0
"DIC 2005",1202616582,789262549,8668974,75360945,729287117,709681790,325289550,3682561,32627,28057335,34990338,9631297,0
"ENE 2006",1218072934,800797383,8824084,73577531,742091323,722273660,329597342,4112628,32336,28136625,34692977,9977137,0
"FEB 2006",1235318242,816567630,9496793,73209317,755990941,735633860,333677459,3589011,32192,27476337,34900740,10063449,0
"MAR 2006",1265755193,837396819,9266265,71842162,776579639,755006270,342946110,4011081,27427,27928146,36523215,9935921,0
"ABR 2006",1293041589,855663276,8991801,76787207,790355299,767728260,350765945,4354786,18587,28446118,36495748,10191273,0
"MAY 2006",1313046626,876460679,9191607,74391363,806635534,783839230,356540965,4134738,20257,28271510,36892031,10315223,0
"JUN 2006",1350190640,899764502,10247259,75288061,826789796,801094980,364484575,3907013,20181,34950000,38418223,10259985,0
"JUL 2006",1382678436,925180118,10012371,78400097,845698060,819006530,378503174,4182225,15834,30476087,39079811,10521207,0
"AGO 2006",1387363884,930000322,10610989,78012298,852700214,827006340,379175905,3562501,15665,28020805,38631230,10823432,0
"SEP 2006",1419972788,954984933,11576662,79445834,867455524,840613950,393259966,4241755,15580,29691786,39223883,10895795,0
"OCT 2006",1445197757,974631576,12079070,76954700,883039875,854318720,404750201,3975568,14488,30722442,38666154,11064386,0
"NOV 2006",1476671559,995485001,11667824,79464108,900054530,869279170,411962431,3817882,13740,35328621,38882087,10979782,0
"DIC 2006",1508625510,1016518879,11440340,85375847,922975583,883840830,414588814,3523619,13727,34112613,40713243,10859410,0
"ENE 2007",1524983361,1028814344,12058885,82757596,934059746,894626050,422823486,3830828,13543,33660571,40206167,11475795,0
"FEB 2007",1539176063,1045475396,10951809,82915107,947558601,907105540,423981874,3919874,13735,32714051,40263362,11743069,0
"MAR 2007",1569168994,1067712617,10573480,81423796,967512431,925066750,434694616,4197133,23752,31648272,42103482,11786397,0
"ABR 2007",1593190796,1083676490,10565990,82758026,978941710,935965950,442962815,3751354,0,34180529,42293808,12053908,0
"MAY 2007",1615329993,1103677679,15575035,82963809,994585797,949586180,450689154,3711941,0,32512158,42165995,12413080,0
"JUN 2007",1652351474,1123441297,16999715,87458491,1007909399,961798530,460894332,5983603,0,39437386,44100885,12550981,0
"JUL 2007",1678546463,1146632734,18266895,87838093,1023920736,975621120,473479163,3241073,0,35237919,44825299,13245254,0
"AGO 2007",1685143020,1151375784,17808815,87622460,1031486781,980879940,474702579,4869243,0,32644602,44613962,14072637,0
"SEP 2007",1706125941,1169276587,17052726,87874637,1038621299,990042370,484707742,7513281,0,35586325,45005954,14329984,0
"OCT 2007",1725494032,1173842507,17456319,86226931,1049032716,1000187100,493172019,6087276,0,36356955,45305546,15399865,0
"NOV 2007",1747566952,1191398229,17482074,87973328,1058631262,1009383400,497337172,5745551,0,42108919,45610739,15905532,0
"DIC 2007",1760212580,1197990570,15910320,90841545,1068372030,1018784700,497882784,6537196,0,40572083,46293445,16250693,0
"ENE 2008",1767475785,1208000754,17237647,89518545,1071400004,1023212200,501159041,3825608,0,40962714,46050123,18385358,0
"FEB 2008",1777887114,1217552007,17465918,88741400,1078039166,1030283800,504756994,4767524,0,40245626,45987727,20116201,0
"MAR 2008",1793358061,1225049271,17099247,83656882,1085703806,1037445600,511770010,9274386,0,44069515,46580281,21577567,0
"ABR 2008",1802762727,1232180548,17974763,85439348,1091191259,1044029100,511828890,6231347,0,42464150,46931971,24907109,0
"MAY 2008",1814329493,1238397377,17528988,85192610,1096377641,1048688100,512721606,7174255,0,44876696,47105730,28055210,0
"JUN 2008",1838175112,1248635108,18466495,81161792,1101347182,1054295700,522362866,12781854,6442,54655226,47428184,31219862,0
"JUL 2008",1842592113,1252934609,19177982,83612317,1103056972,1058463000,519635399,7379108,14165,47204882,48034360,41048184,0
"AGO 2008",1842783850,1252987813,20647504,83607611,1103952317,1057848100,517787630,8665585,24376,43477926,47386770,46571596,0
"SEP 2008",1852563129,1261207193,23919147,76076258,1107513193,1061963300,527666859,10016054,35498,45563943,47036357,48706519,0
"OCT 2008",1861243883,1268658825,26658891,75582167,1106937893,1063178400,531064145,9907667,60045,46597583,46641473,54420622,0
"NOV 2008",1868056526,1267933081,26804063,76272023,1105659423,1062668500,526731089,10530389,85001,53352366,46153329,59888296,0
"DIC 2008",1869881647,1248391816,24896032,74214559,1108796321,1064548600,529456956,16070424,4979,49128334,45228623,63056854,0
"ENE 2009",1862654220,1265614668,26458775,68665812,1103825751,1060033600,521823533,8680073,4937,51883886,44051709,72403529,0
"FEB 2009",1859713876,1254201440,24098428,65579892,1102529245,1058734300,520291185,8434945,4900,49652686,43262429,78398439,0
"MAR 2009",1861736401,1251828928,22068387,59827319,1103621266,1060598100,528609171,16016856,4858,47357182,42921704,79399759,0
"ABR 2009",1857843862,1253195776,22244244,58668056,1104504293,1060953900,521950756,8238948,4817,46496101,42362922,83861734,0
"MAY 2009",1860128317,1261327424,21005078,58450678,1106115228,1062838200,522020908,11821886,4776,45085746,41720435,86735322,0
"JUN 2009",1861004922,1249509888,20903294,54653488,1107918329,1067288100,517819199,18482912,10248,54079292,40938017,85596597,0
"JUL 2009",1850522720,1235911456,20631322,56290289,1109868167,1070077400,510938812,13396608,10840,45171485,40259730,87994238,0
"AGO 2009",1838389893,1246268608,20314962,54105703,1109196361,1068975500,503363412,14281121,10798,41397354,39442568,90884495,0
"SEP 2009",1846010040,1247735520,19655068,51109195,1113100081,1071398300,511463503,23135730,10964,41244367,39358172,89734722,0
"OCT 2009",1834770616,1245450144,19370774,51328758,1113842462,1072314000,495989110,12318601,11542,43202976,38885254,91522056,0
"NOV 2009",1834405237,1250216768,18944615,51054134,1113977797,1072585100,491303882,12395287,11845,47057094,38422310,92590020,0
"DIC 2009",1837037298,1249050144,17877286,55263145,1115828154,1074975600,493839391,23364342,12781,40946411,37832829,93327368,0
"ENE 2010",1816430561,1246615200,18539097,51692690,1111650821,1071025500,476409079,10774039,14432,43190589,37089238,96398145,0
"FEB 2010",1818754043,1247316576,19021498,51368355,1111188071,1070727900,480819311,15353664,14370,40757592,36391069,98229646,0
"MAR 2010",1827093721,1249088192,19295765,49104058,1112188504,1071497900,494288694,25225708,14256,38062085,35981681,97468699,0
"ABR 2010",1818540084,1248248800,19441627,49185776,1110820497,1069866700,484579141,17470500,14203,38541306,35527318,99886047,0
"MAY 2010",1825043938,1250975392,20929068,48935186,1111806471,1071264300,490370215,20746676,14181,38397244,35268589,100266235,0
"JUN 2010",1850229593,1257912480,21715562,49996577,1115333073,1075237200,503494107,30194586,14038,47827115,34673039,98905682,0
"JUL 2010",1836771900,1248713568,20778810,51600116,1112468982,1072709700,499363563,22667128,14038,38448808,34363616,100526815,0
"AGO 2010",1825586096,1249768288,21437491,49971294,1110085064,1069509500,493530371,22055124,14038,35678533,33745182,102575653,0
"SEP 2010",1841500115,1250625664,20273248,49295868,1108600528,1067371000,511669478,37036400,13988,37369962,33301483,101262796,0
"OCT 2010",1829877153,1257774848,19660233,50845403,1105602322,1064400300,498858158,25807860,13987,37966561,32919499,103685211,0
"NOV 2010",1843436886,1260766400,20706015,49665847,1104568031,1063549300,506105254,31686354,13900,45623300,32693833,104780622,0

