"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"MAY 1971",9607263,"_","_",3170669,1149586,"_",4505475,0,"_",641737,"_",139795,"_"
"JUN 1971",9809545,"_","_",3266351,1173091,"_",4529876,0,"_",698755,"_",141472,"_"
"JUL 1971",10000240,"_","_",3324895,1190773,"_",4651521,0,"_",690761,"_",142290,"_"
"AGO 1971",9967629,"_","_",3272823,1212927,"_",4644646,0,"_",692114,"_",145120,"_"
"SEP 1971",10120485,"_","_",3321794,1239263,"_",4697883,0,"_",712806,"_",148738,"_"
"OCT 1971",10238920,"_","_",3418262,1250742,"_",4736588,0,"_",682587,"_",150740,"_"
"NOV 1971",10426965,"_","_",3527466,1289003,"_",4793474,0,"_",666793,"_",150229,"_"
"DIC 1971",10892323,"_","_",3798757,1339752,"_",4886210,0,"_",719910,"_",147693,"_"
"ENE 1972",10813770,"_","_",3647795,1344777,"_",4937483,0,"_",735897,"_",147819,"_"
"FEB 1972",10854080,"_","_",3684865,1365289,"_",4998161,0,"_",655476,"_",150289,"_"
"MAR 1972",11092021,"_","_",3827263,1391860,"_",5075679,0,"_",645836,"_",151383,"_"
"ABR 1972",11252425,"_","_",3924555,1407210,"_",5115352,0,"_",649604,"_",155704,"_"
"MAY 1972",11439262,"_","_",3980647,1432470,"_",5177713,0,"_",692252,"_",156179,"_"
"JUN 1972",11744516,"_","_",4160699,1464432,"_",5223270,0,"_",738337,"_",157778,"_"
"JUL 1972",12029522,"_","_",4193045,1491856,"_",5412721,0,"_",771826,"_",160074,"_"
"AGO 1972",12102202,"_","_",4158024,1513775,"_",5525886,0,"_",742556,"_",161961,"_"
"SEP 1972",12354916,"_","_",4272944,1543387,"_",5592766,0,"_",778737,"_",167081,"_"
"OCT 1972",12596480,"_","_",4427266,1576004,"_",5658992,0,"_",763550,"_",170669,"_"
"NOV 1972",12905190,"_","_",4646557,1624361,"_",5706712,0,"_",759583,"_",167977,"_"
"DIC 1972",13457569,"_","_",4975365,1678290,"_",5839398,0,"_",795121,"_",169395,"_"
"ENE 1973",13391415,"_","_",4831999,1685040,"_",5873469,0,"_",831626,"_",169281,"_"
"FEB 1973",13637620,"_","_",4941660,1727687,"_",5960910,0,"_",834006,"_",173356,"_"
"MAR 1973",14002554,"_","_",5120028,1751512,"_",6077290,0,"_",877562,"_",176163,"_"
"ABR 1973",14232724,"_","_",5228541,1772956,"_",6180959,0,"_",879521,"_",170748,"_"
"MAY 1973",14545088,"_","_",5362759,1824366,"_",6305723,0,"_",878193,"_",174047,"_"
"JUN 1973",14985816,"_","_",5556195,1856442,"_",6430463,0,"_",968543,"_",174173,"_"
"JUL 1973",15434916,"_","_",5691519,1906122,"_",6655338,0,"_",1001412,"_",180526,"_"
"AGO 1973",15538345,"_","_",5665765,1962226,"_",6762204,0,"_",964065,"_",184084,"_"
"SEP 1973",15893032,"_","_",5825196,2013469,"_",6884894,0,"_",981417,"_",188057,"_"
"OCT 1973",16266627,"_","_",6002296,2070180,"_",6999014,0,"_",1002073,"_",193063,"_"
"NOV 1973",16664088,"_","_",6219021,2141196,"_",7082303,0,"_",1025128,"_",196441,"_"
"DIC 1973",17134452,"_","_",6480353,2211496,"_",7231306,0,"_",1021336,"_",189962,"_"
"ENE 1974",17134987,"_","_",6343611,2244612,"_",7281316,0,"_",1065324,"_",200125,"_"
"FEB 1974",17383229,"_","_",6444659,2285895,"_",7407330,0,"_",1039132,"_",206213,"_"
"MAR 1974",17837474,"_","_",6652729,2334000,"_",7513745,0,"_",1126808,"_",210192,"_"
"ABR 1974",18257672,"_","_",6815135,2379828,"_",7657075,0,"_",1184649,"_",220986,"_"
"MAY 1974",18460568,"_","_",6840317,2427097,"_",7801438,0,"_",1164197,"_",227519,"_"
"JUN 1974",18921394,"_","_",7047107,2477895,"_",7932777,0,"_",1228559,"_",235056,"_"
"JUL 1974",19682708,"_","_",7076371,2521709,"_",8528945,0,"_",1314666,"_",241018,"_"
"AGO 1974",19701513,"_","_",6932999,2570234,"_",8675243,0,"_",1269422,"_",253615,"_"
"SEP 1974",19951372,"_","_",6997896,2640907,"_",8762474,0,"_",1282758,"_",267336,"_"
"OCT 1974",20416465,"_","_",7266411,2692558,"_",8878307,0,"_",1301997,"_",277193,"_"
"NOV 1974",20885129,"_","_",7526799,2762853,"_",9060534,0,"_",1253843,"_",281099,"_"
"DIC 1974",21612251,"_","_",7934207,2836128,"_",9226029,0,"_",1334379,"_",281508,"_"
"ENE 1975",21688135,"_","_",7696687,2872267,"_",9435175,0,"_",1385772,"_",298234,"_"
"FEB 1975",22013745,"_","_",7696555,2927548,"_",9694277,0,"_",1383506,"_",311859,"_"
"MAR 1975",22335822,"_","_",7806282,2928642,"_",9843755,0,"_",1437062,"_",320081,"_"
"ABR 1975",22658409,"_","_",7930793,2985257,"_",10009857,0,"_",1401109,"_",331392,"_"
"MAY 1975",22971446,"_","_",7969691,3042455,"_",10208930,0,"_",1418202,"_",332167,"_"
"JUN 1975",23464667,"_","_",8164383,3098085,"_",10368414,0,"_",1487289,"_",346495,"_"
"JUL 1975",24095471,"_","_",8273713,3166276,"_",10729058,0,"_",1570871,"_",355553,"_"
"AGO 1975",24131664,"_","_",8243025,3207704,"_",10819847,0,"_",1494230,"_",366858,"_"
"SEP 1975",24371239,"_","_",8260154,3253639,"_",10977648,0,"_",1501430,"_",378367,"_"
"OCT 1975",24864430,"_","_",8482805,3284363,"_",11190641,0,"_",1514106,"_",392515,"_"
"NOV 1975",25364965,"_","_",8792783,3338646,"_",11358816,0,"_",1473147,"_",401572,"_"
"DIC 1975",26324625,"_","_",9264692,3395400,"_",11753459,0,"_",1512225,"_",398850,"_"
"ENE 1976",26240152,"_","_",8987703,3399108,"_",11836194,0,"_",1612461,"_",404685,"_"
"FEB 1976",26564825,"_","_",9043567,3439358,"_",12071502,0,"_",1595825,"_",414572,"_"
"MAR 1976",26998269,"_","_",9229887,3477294,"_",12235699,0,"_",1626291,"_",429099,"_"
"ABR 1976",27518746,"_","_",9608789,3504261,"_",12357458,0,"_",1605880,"_",442357,"_"
"MAY 1976",28020080,"_","_",9791178,3580902,"_",12578721,0,"_",1621435,"_",447844,"_"
"JUN 1976",28527340,"_","_",9993419,3612281,"_",12693640,0,"_",1777385,"_",450615,"_"
"JUL 1976",29401891,"_","_",10221124,3694115,"_",13239918,0,"_",1786683,"_",460051,"_"
"AGO 1976",29381216,"_","_",10002602,3762354,"_",13417818,0,"_",1729713,"_",468729,"_"
"SEP 1976",29647434,"_","_",9994260,3828177,"_",13578564,0,"_",1771201,"_",475232,"_"
"OCT 1976",30444364,"_","_",10392575,3912421,"_",13824937,0,"_",1824114,"_",490318,"_"
"NOV 1976",31125822,"_","_",10816511,3990534,"_",14048321,0,"_",1776520,"_",493936,"_"
"DIC 1976",32354723,"_","_",11450122,4069777,"_",14500547,0,"_",1852283,"_",481994,"_"
"ENE 1977",32492253,"_","_",11292398,4107719,"_",14685358,0,"_",1915335,"_",491442,"_"
"FEB 1977",32965929,"_","_",11445266,4160632,"_",14878800,0,"_",1974589,"_",506641,"_"
"MAR 1977",33525206,"_","_",11740116,4227633,"_",15111566,0,"_",1921826,"_",524065,"_"
"ABR 1977",34271177,"_","_",12171313,4274590,"_",15345882,0,"_",1948998,"_",530393,"_"
"MAY 1977",34943872,"_","_",12369556,4399980,"_",15644435,0,"_",1984073,"_",545827,"_"
"JUN 1977",35611067,"_","_",12481717,4472035,"_",15997289,0,"_",2095399,"_",564627,"_"
"JUL 1977",36834481,"_","_",12734491,4555143,"_",16697372,0,"_",2266747,"_",580728,"_"
"AGO 1977",36625053,"_","_",12481345,4620671,"_",16809371,0,"_",2115058,"_",598608,"_"
"SEP 1977",37021835,"_","_",12475461,4684451,"_",17027196,0,"_",2210805,"_",623923,"_"
"OCT 1977",37571869,"_","_",12653042,4750911,"_",17280126,0,"_",2235008,"_",652783,"_"
"NOV 1977",38292597,"_","_",13069134,4854874,"_",17459792,0,"_",2218348,"_",690449,"_"
"DIC 1977",39490714,"_","_",13807069,4923708,"_",17778166,0,"_",2279927,"_",701844,"_"
"ENE 1978",39176529,"_","_",13302616,4970010,"_",17904397,0,"_",2286833,"_",712674,"_"
"FEB 1978",39605387,"_","_",13552318,5051014,"_",18051831,0,"_",2214165,"_",736060,"_"
"MAR 1978",40013102,"_","_",13656335,5108873,"_",18095513,0,"_",2380723,"_",771657,"_"
"ABR 1978",40719508,"_","_",14073894,5149015,"_",18230765,0,"_",2474030,"_",791803,"_"
"MAY 1978",41080734,"_","_",13993389,5268033,"_",18622270,0,"_",2359399,"_",837643,"_"
"JUN 1978",42003949,"_","_",14415972,5346291,"_",18819474,0,"_",2552276,"_",869935,"_"
"JUL 1978",42912901,"_","_",14735254,5463645,"_",19171433,0,"_",2642746,"_",899823,"_"
"AGO 1978",42455110,"_","_",14117636,5538940,"_",19320291,0,"_",2561015,"_",917229,"_"
"SEP 1978",42735044,"_","_",14073756,5612185,"_",19427266,0,"_",2678543,"_",943295,"_"
"OCT 1978",43152681,"_","_",14240838,5696212,"_",19530297,0,"_",2682389,"_",1002945,"_"
"NOV 1978",43519629,"_","_",14452484,5835761,"_",19478309,0,"_",2708828,"_",1044247,"_"
"DIC 1978",45294117,"_","_",15445416,6204284,"_",19727705,0,"_",2831969,"_",1084743,"_"
"ENE 1979",45123700,"_","_",15071641,6230831,"_",19751145,0,"_",2770275,171811,1127998,"_"
"FEB 1979",45835275,"_","_",15404770,6294394,"_",20030315,0,"_",2768274,175279,1162243,"_"
"MAR 1979",46336224,"_","_",15485564,6388482,"_",20227201,0,"_",2846375,178735,1209867,"_"
"ABR 1979",46724604,"_","_",15627769,6398898,"_",20370969,0,"_",2929363,182155,1215451,"_"
"MAY 1979",47246553,"_","_",15739822,6468429,"_",20705979,0,"_",2902594,185550,1244179,"_"
"JUN 1979",48314347,"_","_",16135811,6525297,"_",21050810,0,"_",3124926,188904,1288600,"_"
"JUL 1979",49382670,"_","_",16632818,6579081,"_",21479463,0,"_",3219255,192210,1279843,"_"
"AGO 1979",49218642,"_","_",16154875,6673987,"_",21809293,0,"_",3084346,195461,1300680,"_"
