"SEP 1974",476885,27592,12958,14635,"_","_",449293
"OCT 1974",481303,22538,4574,17964,"_","_",458765
"NOV 1974",489554,23025,4964,18060,"_","_",466530
"DIC 1974",493858,22490,2440,20050,"_","_",471368
"ENE 1975",515464,39805,19749,20056,"_","_",475659
"FEB 1975",513120,25579,5289,20290,"_","_",487541
"MAR 1975",517928,22592,2001,20591,"_","_",495336
"ABR 1975",522983,22778,1761,21017,"_","_",500204
"MAY 1975",531006,23169,2019,21150,"_","_",507837
"JUN 1975",545070,24569,2999,21570,"_","_",520501
"JUL 1975",564080,33693,11744,21949,"_","_",530387
"AGO 1975",569092,28416,6347,22069,"_","_",540677
"SEP 1975",578090,30796,8528,22267,"_","_",547294
"OCT 1975",585260,28945,6257,22688,"_","_",556315
"NOV 1975",589617,27334,5181,22153,"_","_",562283
"DIC 1975",604041,27568,5439,22129,"_","_",576473
"ENE 1976",668073,68630,46633,21997,"_","_",599444
"FEB 1976",641881,30616,8625,21991,"_","_",611265
"MAR 1976",652399,24359,2338,22021,"_","_",628040
"ABR 1976",692354,36373,14677,21697,"_","_",655981
"MAY 1976",717879,53917,31866,22051,"_","_",663962
"JUN 1976",720361,41662,19022,22640,"_","_",678699
"JUL 1976",758117,70433,46759,23674,"_","_",687684
"AGO 1976",758838,64320,40256,24065,"_","_",694518
"SEP 1976",764343,60348,36560,23788,"_","_",703996
"OCT 1976",762624,52390,27923,24467,"_","_",710234
"NOV 1976",818470,95633,71448,24185,"_","_",722837
"DIC 1976",865451,112540,88367,24173,"_","_",752912
"ENE 1977",962719,196002,171938,24065,"_","_",766717
"FEB 1977",907751,120401,95952,24449,"_","_",787350
"MAR 1977",897870,99209,74213,24996,"_","_",798661
"ABR 1977",924020,120900,95405,25495,"_","_",803120
"MAY 1977",963050,126207,100441,25765,"_","_",836843
"JUN 1977",949106,104131,78348,25783,"_","_",844975
"JUL 1977",989404,129921,103801,26120,"_","_",859483
"AGO 1977",996845,122414,95405,27009,"_","_",874431
"SEP 1977",1003233,114343,88060,26282,"_","_",888891
"OCT 1977",1025351,115064,87856,27208,"_","_",910287
"NOV 1977",1061297,113627,86522,27106,"_","_",947670
"DIC 1977",1173608,121326,91095,30231,"_","_",1052282
"ENE 1978",1243037,175237,143456,31782,"_","_",1067800
"FEB 1978",1199752,118724,84328,34396,"_","_",1081028
"MAR 1978",1233752,122661,88000,34660,"_","_",1111091
"ABR 1978",1239972,115995,83168,32827,"_","_",1123977
"MAY 1978",1254475,120449,86906,33542,"_","_",1134026
"JUN 1978",1271273,116482,82206,34276,"_","_",1154791
"JUL 1978",1268105,97731,62253,35478,"_","_",1170375
"AGO 1978",1303030,95489,57944,37545,"_","_",1207542
"SEP 1978",1303685,75271,37287,37984,"_","_",1228415
"OCT 1978",1303421,57511,18451,39060,"_","_",1245910
"NOV 1978",1302147,44854,6924,37930,"_","_",1257293
"DIC 1978",1336423,40262,421,39841,"_","_",1296161
"ENE 1979",1362428,55395,16113,39282,"_","_",1307033
"FEB 1979",1367651,52060,541,51519,"_","_",1315592
"MAR 1979",1481128,62589,8168,54422,"_","_",1418539
"ABR 1979",1496472,56555,427,56129,"_","_",1439917
"MAY 1979",1509051,56820,397,56423,"_","_",1452232
"JUN 1979",1546765,60786,571,60215,"_","_",1485978
"JUL 1979",1555870,63833,517,63317,"_","_",1492037
"AGO 1979",1571791,67049,487,66562,"_","_",1504742
"SEP 1979",1616440,68810,601,68209,"_","_",1547630
"OCT 1979",1675003,71460,859,70601,"_","_",1603542
"NOV 1979",1741312,67974,1785,66189,"_","_",1673338
"DIC 1979",1804413,77242,829,76413,"_","_",1727171
"ENE 1980",1809678,80758,3774,76984,"_","_",1728920
"FEB 1980",1827239,87982,1196,86786,"_","_",1739257
"MAR 1980",1870506,90134,511,89623,"_","_",1780372
"ABR 1980",1847956,91582,643,90939,"_","_",1756374
"MAY 1980",1866497,90897,180,90717,"_","_",1775600
"JUN 1980",1880338,89461,72,89389,"_","_",1790878
"JUL 1980",1927698,105099,6184,98915,"_","_",1822599
"AGO 1980",1946005,97604,240,97364,"_","_",1848401
"SEP 1980",2030423,100549,186,100363,"_","_",1929874
"OCT 1980",2061267,107743,198,107545,"_","_",1953524
"NOV 1980",2066953,112431,228,112203,"_","_",1954522
"DIC 1980",2150782,121002,234,120767,"_","_",2029780
"ENE 1981",2165711,122504,246,122258,"_","_",2043207
"FEB 1981",2173476,125636,198,125437,"_","_",2047841
"MAR 1981",2217500,128923,204,128719,"_","_",2088577
"ABR 1981",2248266,138948,12429,126519,"_","_",2109318
"MAY 1981",2296455,170730,40075,130654,"_","_",2125726
"JUN 1981",2351863,190497,54987,135510,"_","_",2161366
"JUL 1981",2363853,203521,58304,145217,"_","_",2160332
"AGO 1981",2370260,208034,57691,150343,"_","_",2162225
"SEP 1981",2430829,216617,57974,158643,"_","_",2214213
"OCT 1981",2442104,230590,57349,173242,"_","_",2211514
"NOV 1981",2481555,261026,65715,195311,"_","_",2220530
"DIC 1981",2690178,434141,78090,356052,"_","_",2256037
"ENE 1982",2760563,495492,65114,430379,"_","_",2265071
"FEB 1982",2780619,529432,64741,464691,"_","_",2251187
"MAR 1982",2822689,550671,75643,475028,"_","_",2272018
"ABR 1982",2831873,569537,88403,481134,"_","_",2262336
"MAY 1982",2831771,586522,88944,497578,"_","_",2245249
"JUN 1982",2982493,702174,132643,569531,"_","_",2280318
"JUL 1982",3016281,735038,138599,596438,"_","_",2281244
"AGO 1982",3033542,759445,138461,620984,"_","_",2274098
"SEP 1982",3115665,804383,139339,665044,"_","_",2311282
"OCT 1982",3145890,846640,143389,703250,"_","_",2299250
"NOV 1982",3181506,877977,141911,736066,"_","_",2303529
"DIC 1982",3385074,1070336,295674,774663,"_","_",2314738
"ENE 1983",3672611,1353678,489566,864111,"_","_",2318933
"FEB 1983",3654472,1367765,510349,857416,"_","_",2286707
"MAR 1983",3746156,1433023,544373,888650,"_","_",2313133
"ABR 1983",3754919,1457178,575800,881378,"_","_",2297742
"MAY 1983",3859381,1545533,601829,943703,"_","_",2313849
"JUN 1983",4032665,1672551,644375,1028175,"_","_",2360115
"JUL 1983",4024425,1669305,659076,1010229,"_","_",2355120
"AGO 1983",4124067,1759271,697120,1062151,"_","_",2364796
"SEP 1983",4225374,1846556,743091,1103464,"_","_",2378818
"OCT 1983",4201525,1859880,735921,1123959,"_","_",2341646
"NOV 1983",4300470,1941708,796666,1145042,"_","_",2358762
"DIC 1983",4431551,2047011,877658,1169353,"_","_",2384540
"ENE 1984",4520218,2160001,944959,1215042,"_","_",2360217
"FEB 1984",4440512,2103128,899174,1203953,"_","_",2337384
"MAR 1984",4441960,2079105,889588,1189517,"_","_",2362855
"ABR 1984",4473904,2131670,896001,1235669,"_","_",2342234
"MAY 1984",4452027,2129831,886355,1243476,"_","_",2322197
"JUN 1984",4556231,2202794,919567,1283227,"_","_",2353437
"JUL 1984",4539258,2225259,971909,1253351,"_","_",2313999
"AGO 1984",4498714,2168217,960520,1207698,"_","_",2330497
"SEP 1984",4547786,2193340,993112,1200227,"_","_",2354447
"OCT 1984",4555966,2233205,1003588,1229617,"_","_",2322762
"NOV 1984",4541848,2196495,924321,1272174,"_","_",2345354
"DIC 1984",4671216,2266441,970683,1295758,"_","_",2404776
"ENE 1985",5192216,2821193,1378463,1442730,"_","_",2371023
"FEB 1985",5257552,2865289,1432452,1432837,"_","_",2392263
"MAR 1985",5405936,2982168,1499994,1482174,"_","_",2423768
"ABR 1985",5236252,2844825,1393873,1450951,"_","_",2391427
"MAY 1985",5122168,2699139,1205690,1493449,"_","_",2423028
"JUN 1985",5324282,2863678,1233643,1630035,"_","_",2460604
"JUL 1985",5300698,2867200,1295896,1571304,"_","_",2433498
"AGO 1985",5261236,2801768,1242556,1559212,"_","_",2459468
"SEP 1985",5282169,2830497,1247232,1583264,"_","_",2451673
"OCT 1985",5417475,2915155,1247395,1667761,"_","_",2502320
"NOV 1985",5766585,3040190,1446991,1593199,"_","_",2726395
"DIC 1985",5989849,3176914,1549728,1627186,"_","_",2812935
"ENE 1986",7395520,4503738,2699494,1804244,"_","_",2891782
"FEB 1986",7471638,4485396,2649556,1835840,"_","_",2986243
"MAR 1986",7823447,4779429,2814083,1965346,"_","_",3044018
"ABR 1986",7507645,4483118,2628719,1854399,"_","_",3024528
"MAY 1986",7649742,4586486,2612083,1974403,"_","_",3063257
"JUN 1986",8035093,4995234,2639814,2355421,"_","_",3039859
"JUL 1986",7799821,4715072,2641574,2073498,"_","_",3084749
"AGO 1986",7682077,4565570,2572296,1993275,"_","_",3116506
"SEP 1986",7554956,4403886,2467948,1935938,"_","_",3151071
"OCT 1986",7401927,4268442,2368390,1900052,"_","_",3133485
"NOV 1986",7394913,4233649,2153024,2080626,"_","_",3161264
"DIC 1986",7047744,3881204,1889203,1992001,"_","_",3166541
"ENE 1987",7229533,4056351,2039384,2016967,"_","_",3173182
"FEB 1987",7307225,4094443,2012050,2082393,"_","_",3212782
"MAR 1987",7281153,4094377,2082477,2011900,"_","_",3186777
"ABR 1987",7440283,4209765,2093992,2115773,"_","_",3230518
"MAY 1987",7415420,4146569,2097394,2049175,"_","_",3268851
"JUN 1987",8009640,4764710,2201315,2563395,"_","_",3244931
"JUL 1987",7815958,4526577,2263796,2262781,"_","_",3289381
"AGO 1987",7779116,4456601,2209591,2247010,"_","_",3322515
"SEP 1987",7822479,4548868,2228054,2320814,"_","_",3273611
"OCT 1987",8003095,4677383,2327534,2349849,"_","_",3325713
"NOV 1987",8402985,5023788,2323627,2700161,"_","_",3379197
"DIC 1987",8230109,4810765,2333700,2477065,"_","_",3419344
"ENE 1988",8970166,5544030,2723414,2704104,116512,"_",3426136
"FEB 1988",8709729,5273743,2687979,2447814,137950,"_",3435986
"MAR 1988",9032449,5555005,2882039,2532857,140108,"_",3477444
"ABR 1988",9079989,5652116,2941546,2572740,137830,"_",3427873
"MAY 1988",9145060,5650836,2894456,2621374,135005,"_",3494224
"JUN 1988",9918575,6399565,3067542,3193442,138581,"_",3519010
"JUL 1988",9455465,5942850,3054818,2750502,137530,"_",3512615
"AGO 1988",9380260,5813223,2978640,2698544,136039,"_",3567037
"SEP 1988",9502452,5998852,3087045,2790872,120936,"_",3503600
"OCT 1988",9501448,5926749,2979025,2824282,123442,"_",3574700
"NOV 1988",10075163,6393429,2983911,3280384,129134,"_",3681734
"DIC 1988",9668590,5959336,2930709,2904433,124193,"_",3709254
"ENE 1989",10039294,6225464,3147362,2950266,127835,"_",3813831
"FEB 1989",10166150,6233175,3137241,2969589,126345,"_",3932975
"MAR 1989",10027430,6106860,3020344,2962683,123833,"_",3920570
"ABR 1989",10238187,6230284,3101132,3000715,128436,"_",4007903
"MAY 1989",10400424,6290433,3048923,3115094,126417,"_",4109991
"JUN 1989",11126567,6948836,3177936,3624980,145920,"_",4177731
"JUL 1989",10935806,6458963,3166781,3156149,136033,"_",4476843
"AGO 1989",10284603,5728859,2575878,3019389,133593,"_",4555744
"SEP 1989",10138269,5454083,2247413,3069844,136826,"_",4684187
"OCT 1989",10103470,5341477,2125491,3079087,136899,"_",4761993
"NOV 1989",10655939,5801582,2147416,3510398,143768,"_",4854357
"DIC 1989",10451679,5556381,2257143,3161546,137692,"_",4895298
"ENE 1990",10685953,5791587,2417355,3238403,135829,"_",4894366
"FEB 1990",10924915,5838911,2378602,3322148,138161,"_",5086005
"MAR 1990",11211857,6024545,2393212,3490756,140577,"_",5187312
"ABR 1990",11484146,6216599,2569219,3503215,144165,"_",5267547
"MAY 1990",11441714,6088944,2569062,3372026,147855,"_",5352770
"JUN 1990",12969468,7492680,3053755,4300770,138155,"_",5476789
"JUL 1990",12982937,7409590,3219406,4050413,139771,"_",5573348
"AGO 1990",12586083,6973201,3039841,3806252,127108,"_",5612882
"SEP 1990",12991568,7230620,3054049,4050485,126086,"_",5760948
"OCT 1990",13189752,7282452,3136249,4019611,126591,"_",5907300
"NOV 1990",13915690,7941185,3278257,4505421,157507,"_",5974505
"DIC 1990",14694596,8681403,3810531,4700245,170627,"_",6013193
"ENE 1991",14528837,8678549,3915810,4596667,166072,"_",5850288
"FEB 1991",15023968,9033314,4183008,4670128,180177,"_",5990654
"MAR 1991",15363804,9357049,4528908,4639922,188219,"_",6006755
"ABR 1991",16161727,9980528,4806234,4968291,206003,"_",6181200
"MAY 1991",16598199,10238524,5118051,4930072,190401,"_",6359676
"JUN 1991",18321385,11808824,5530916,6047792,230116,"_",6512562
"JUL 1991",17710372,11178915,5654658,5294682,229575,"_",6531457
"AGO 1991",17567824,11024611,5840515,4964168,219928,"_",6543213
"SEP 1991",18129975,11511689,5979872,5297237,234581,"_",6618285
"OCT 1991",18628677,11920162,6216695,5458290,245177,"_",6708515
"NOV 1991",20541194,13797393,7194031,6322191,281172,"_",6743801
"DIC 1991",20505325,13748729,7411195,6047053,290481,"_",6756596
"ENE 1992",21747220,14093175,7424729,6427127,241318,21895,7632151
"FEB 1992",22042726,14260442,7194403,6823224,242815,43796,7738488
"MAR 1992",22068756,14263736,7240417,6814149,209170,65691,7739329
"ABR 1992",22443029,14498973,7385357,6856268,257347,73394,7870663
"MAY 1992",22618239,14685719,7368426,7063654,253639,81354,7851166
"JUN 1992",23752599,15838051,7355264,8179805,302982,89058,7825490
"JUL 1992",23676234,15511223,7613447,7651686,246090,109117,8055894
"AGO 1992",23738118,15587967,7853275,7507137,227555,129176,8020975
"SEP 1992",24362705,16257858,8283185,7737316,237358,148588,7956259
"OCT 1992",25332476,17102022,8666492,8159809,275720,199424,8031031
"NOV 1992",26286231,18016414,8648726,9041584,326103,248619,8021198
"DIC 1992",25804443,16940788,8573810,8064591,302387,299454,8564200
"ENE 1993",26243516,17336831,8715427,8320526,300879,292619,8614066
"FEB 1993",26299475,17355228,8626387,8384251,344590,286445,8657802
"MAR 1993",26165783,17299550,8489086,8444418,366046,279609,8586624
"ABR 1993",26549806,17584850,8753519,8454112,377219,274652,8690304
"MAY 1993",26834378,17759505,8765623,8648119,345762,269529,8805344
"JUN 1993",29114836,20023283,9621296,9979704,422283,264572,8826981
"JUL 1993",27828941,18530647,9307640,8853606,369400,280420,9017874
"AGO 1993",27285389,18057346,8951402,8748595,357350,296269,8931773
"SEP 1993",27415919,18230062,8934280,8922842,372940,311607,8874250
"OCT 1993",27737855,18480545,9157988,8929772,392786,304146,8953163
"NOV 1993",28431253,19222165,9082471,9725885,413809,296926,8912162
"DIC 1993",28010806,18325971,9135823,8841339,348809,289465,9395370
"ENE 1994",28559931,18989033,9234142,9392095,362795,296645,9274254
"FEB 1994",28371724,18868145,9145487,9370826,351833,303129,9200450
"MAR 1994",29100892,19347836,9315796,9678152,353888,310309,9442748
"ABR 1994",28925644,19636014,9509045,9765479,361491,300994,8988635
"MAY 1994",28872994,19618545,9578084,9688719,351742,291369,8963080
"JUN 1994",30989657,29379647,17839782,11106511,433354,282055,1327954
"JUL 1994",31335856,29764708,18815231,10549533,399944,284501,1286647
"AGO 1994",31489686,29915154,18521859,10869790,523506,286948,1287584
"SEP 1994",31802069,30240014,18779651,10938348,522015,289315,1272739
"OCT 1994",32203043,30627198,19139104,10952640,535454,293694,1282151
"NOV 1994",33065387,31496394,18889420,12057318,549656,297931,1271063
"DIC 1994",32048471,30499579,18745940,11202102,551537,302309,1246583
"ENE 1995",34472499,32710703,20481411,11658920,570373,293163,1468633
"FEB 1995",34339493,32603615,20454750,11582681,566184,284902,1450976
"MAR 1995",34966343,33241162,20945596,11730097,565468,275756,1449425
"ABR 1995",35179344,33429229,21048237,11828313,552679,285731,1464384
"MAY 1995",34562807,32802283,20496112,11738745,567428,296037,1464486
"JUN 1995",36703016,34932531,20817881,13510620,604029,306011,1464474
"JUL 1995",34998547,33235663,20571280,12108837,555546,305003,1457881
"AGO 1995",34214287,32447159,19988653,11908977,549529,303994,1463134
"SEP 1995",33508703,31737977,19360667,11836104,541205,303018,1467708
"OCT 1995",33710242,31907974,19502452,11853822,551699,337296,1464973
"NOV 1995",35333711,33498216,19659341,13222249,616626,370468,1465027
"DIC 1995",35206832,33316066,20283515,12457496,575054,404746,1486021
"ENE 1996",38038101,36098578,22019310,13496760,582507,378737,1560786
"FEB 1996",37694845,35769999,21823940,13345810,600249,354407,1570439
"MAR 1996",37310405,35261043,21491622,13183050,586371,328399,1720962
"ABR 1996",37642828,35580379,21701297,13275173,603909,338769,1723679
"MAY 1996",37221572,35156900,21304485,13214447,637968,349486,1715187
"JUN 1996",39608158,37477949,21708233,15069339,700377,359856,1770353
"JUL 1996",38819887,36720169,22190960,13878115,651094,345172,1754547
"AGO 1996",39651073,37565486,23093608,13852217,619662,330487,1755100
"SEP 1996",38047054,35967942,21620449,13737712,609781,321518,1757594
"OCT 1996",37891463,35788739,21425096,13750604,613038,350906,1751818
"NOV 1996",40115468,37985366,21586931,15682811,715625,379347,1750754
"DIC 1996",39512669,37346555,22353029,14345005,648522,408736,1757377
"ENE 1997",39037720,36900623,21888350,14336404,675868,380946,1756151
"FEB 1997",38285340,36175343,21616506,13894231,664605,355985,1754012
"MAR 1997",38128839,36041674,21289357,14092177,660140,328351,1758814
"ABR 1997",38999363,36920251,21904006,14347427,668818,371691,1707421
"MAY 1997",38549019,36481539,21221124,14558876,701537,416476,1651004
"JUN 1997",40870223,38794820,21678278,16313993,802550,459816,1615587
"JUL 1997",39141248,37135221,21585662,14846182,703376,429512,1576515
"AGO 1997",36679000,34684718,20519870,13689316,475533,399208,1595074
"SEP 1997",36837986,34858582,20543321,13802712,512549,369881,1609523
"OCT 1997",36608241,34497404,20426490,13507230,563683,476829,1634008
"NOV 1997",37749729,35553869,19829553,15198845,525471,580327,1615533
"DIC 1997",37137019,34779110,20228985,14033176,516949,687275,1670633
"ENE 1998",34720618,32435187,19520981,12400016,514190,620231,1665200
"FEB 1998",34528483,32329661,19343568,12486219,499874,559676,1639146
"MAR 1998",33058335,30928209,18693237,11743662,491309,492632,1637494
"ABR 1998",32862712,30749432,18653793,11629001,466638,470660,1642620
"MAY 1998",32802248,30723505,18614042,11603867,505595,447957,1630786
"JUN 1998",33024744,30966494,18642266,11755767,568461,425985,1632265
"JUL 1998",33208840,31246649,19035977,11716947,493726,441107,1521084
"AGO 1998",32251921,30263676,18363468,11423010,477198,456229,1532016
"SEP 1998",31534907,29518764,17743368,11303126,472269,470863,1545280
"OCT 1998",31850633,29703707,17445813,11813380,444515,566583,1580343
"NOV 1998",30787208,28504526,16960526,11030201,513799,659216,1623466
"DIC 1998",32100421,29643708,18161871,11043477,438360,754936,1701777
"ENE 1999",31806077,29395675,17912798,11063722,419155,709253,1701149
"FEB 1999",31510040,29143823,17911578,10798761,433484,667992,1698225
"MAR 1999",30762174,28438624,17376177,10637519,424928,622309,1701241
"ABR 1999",30940885,28614488,17534584,10645960,433944,630832,1695565
"MAY 1999",30919697,28663608,17552083,10668725,442800,639638,1616451
"JUN 1999",31602772,29345513,18174948,10659754,510811,648161,1609098
"JUL 1999",31060140,28776247,17655123,10643917,477207,653618,1630275
"AGO 1999",30270448,27980527,17043545,10490444,446538,659074,1630847
"SEP 1999",29953796,27652288,16957821,10253819,440648,664355,1637153
"OCT 1999",30439086,28058116,17249214,10356344,452558,729633,1651337
"NOV 1999",30521923,28066275,17259681,10322100,484494,792804,1662844
